  year  month    day   time    Ta002     U010   ust005      wT005
  2008      5      8   9.25    21.23     3.92    0.282     0.0551
  2008      5      8   9.75    22.00     4.07    0.251     0.0619
  2008      5      8  10.25    22.40     4.71    0.327     0.1019
  2008      5      8  10.75    22.57     5.54    0.349     0.0826
  2008      5      8  11.25    22.80     5.83    0.379     0.0839
  2008      5      8  11.75    22.93     5.94    0.337     0.0762
  2008      5      8  12.25    23.30     4.23    0.321     0.0718
  2008      5      8  12.75    23.37     5.15    0.383     0.0863
  2008      5      8  13.25    23.53     4.49    0.322     0.0742
  2008      5      8  13.75    23.67     5.46    0.370     0.0641
  2008      5      8  14.25    23.67     5.44    0.351     0.0454
  2008      5      8  14.75    23.67     4.52    0.335     0.0426
  2008      5      8  15.25    23.63     4.88    0.347     0.0269
  2008      5      8  15.75    23.60     4.66    0.299     0.0079
  2008      5      8  16.25    23.43     4.37    0.287    -0.0040
  2008      5      8  16.75    23.13     4.33    0.324    -0.0205
  2008      5      8  17.25    22.83     3.91    0.318    -0.0316
  2008      5      8  17.75    22.33     3.24    0.183    -0.0247
  2008      5      8  18.25    21.63     3.07    0.158    -0.0278
  2008      5      8  18.75    20.60     2.17    0.120    -0.0177
  2008      5      8  19.25    19.73     2.51    0.145    -0.0255
  2008      5      8  19.75    19.03     2.45    0.126    -0.0225
  2008      5      8  20.25    18.53     2.53    0.132    -0.0257
  2008      5      8  20.75    17.97     2.65    0.127    -0.0245
  2008      5      8  21.25    17.80     3.12    0.189    -0.0359
  2008      5      8  21.75    17.47     3.17    0.194    -0.0362
  2008      5      8  22.25    16.87     3.24    0.196    -0.0351
  2008      5      8  22.75    16.57     3.29    0.192    -0.0341
  2008      5      8  23.25    15.93     2.93    0.146    -0.0251
  2008      5      8  23.75    15.33     2.76    0.156    -0.0288
  2008      5      9   0.25    14.90     2.80    0.143    -0.0249
  2008      5      9   0.75    14.50     2.76    0.125    -0.0191
  2008      5      9   1.25    14.17     3.14    0.121    -0.0184
  2008      5      9   1.75    13.57     2.79    0.119    -0.0181
  2008      5      9   2.25    12.93     3.08    0.143    -0.0241
  2008      5      9   2.75    12.73     3.35    0.147    -0.0250
  2008      5      9   3.25    12.50     3.39    0.139    -0.0222
  2008      5      9   3.75    12.57     3.71    0.170    -0.0250
  2008      5      9   4.25    12.80     3.85    0.195    -0.0292
  2008      5      9   4.75    13.10     3.52    0.180    -0.0197
  2008      5      9   5.25    13.87     3.55    0.208    -0.0150
  2008      5      9   5.75    14.70     3.72    0.228    -0.0047
  2008      5      9   6.25    15.73     3.78    0.208     0.0077
  2008      5      9   6.75    16.87     4.12    0.289     0.0228
  2008      5      9   7.25    17.90     4.29    0.287     0.0281
  2008      5      9   7.75    19.03     3.78    0.277     0.0411
  2008      5      9   8.25    20.30     3.53    0.265     0.0596
  2008      5      9   8.75    21.07     4.09    0.264     0.0645
  2008      5      9   9.25    22.00     4.27    0.280     0.0719
  2008      5      9   9.75    22.87     4.37    0.305     0.0669
  2008      5      9  10.25    23.43     5.00    0.332     0.0825
  2008      5      9  10.75    23.77     6.25    0.374     0.0853
  2008      5      9  11.25    24.10     6.76    0.391     0.0921
  2008      5      9  11.75    24.37     6.54    0.430     0.0742
  2008      5      9  12.25    24.57     6.41    0.393     0.0741
  2008      5      9  12.75    24.90     5.81    0.380     0.0593
  2008      5      9  13.25    24.97     5.45    0.383     0.0569
  2008      5      9  13.75    25.10     5.49    0.380     0.0598
  2008      5      9  14.25    25.30     5.15    0.364     0.0491
  2008      5      9  14.75    25.23     5.28    0.375     0.0295
  2008      5      9  15.25    25.20     4.69    0.283     0.0192
  2008      5      9  15.75    25.07     4.27    0.295     0.0071
  2008      5      9  16.25    24.90     4.63    0.294    -0.0108
  2008      5      9  16.75    24.67     3.94    0.281    -0.0206
  2008      5      9  17.25    24.33     3.05    0.221    -0.0235
  2008      5      9  17.75    23.73     2.91    0.178    -0.0247
  2008      5      9  18.25    23.10     2.39    0.135    -0.0194
  2008      5      9  18.75    22.20     1.84    0.058    -0.0074
  2008      5      9  19.25    21.30     2.04    0.078    -0.0092
  2008      5      9  19.75    20.43     2.43    0.135    -0.0277
  2008      5      9  20.25    19.77     2.25    0.077    -0.0111
  2008      5      9  20.75    19.17     2.55    0.092    -0.0165
  2008      5      9  21.25    18.47     2.33    0.104    -0.0167
  2008      5      9  21.75    18.07     2.69    0.125    -0.0199
  2008      5      9  22.25    17.53     2.69    0.120    -0.0183
  2008      5      9  22.75    17.40     2.94    0.157    -0.0286
  2008      5      9  23.25    17.13     3.07    0.170    -0.0288
  2008      5      9  23.75    16.60     2.85    0.157    -0.0262
  2008      5     10   0.25    16.07     2.94    0.120    -0.0174
  2008      5     10   0.75    15.77     2.94    0.110    -0.0181
  2008      5     10   1.25    15.43     3.33    0.138    -0.0235
  2008      5     10   1.75    15.13     3.09    0.153    -0.0252
  2008      5     10   2.25    14.60     2.96    0.111    -0.0157
  2008      5     10   2.75    14.43     3.07    0.104    -0.0138
  2008      5     10   3.25    13.97     3.00    0.119    -0.0186
  2008      5     10   3.75    14.00     3.46    0.185    -0.0278
  2008      5     10   4.25    14.00     3.57    0.191    -0.0294
  2008      5     10   4.75    14.27     3.72    0.190    -0.0213
  2008      5     10   5.25    14.87     3.83    0.214    -0.0145
  2008      5     10   5.75    15.70     3.27    0.200    -0.0039
  2008      5     10   6.25    16.77     3.45    0.208     0.0079
  2008      5     10   6.75    17.63     3.56    0.240     0.0228
  2008      5     10   7.25    18.70     3.37    0.236     0.0371
  2008      5     10   7.75    19.63     2.92    0.222     0.0613
  2008      5     10   8.25    20.60     2.60    0.191     0.0597
  2008      5     10   8.75    21.60     2.48    0.208     0.0634
  2008      5     10   9.25    22.73     2.66    0.168     0.0703
  2008      5     10   9.75    23.80     2.74    0.252     0.0968
  2008      5     10  10.25    24.63     3.26    0.284     0.0965
  2008      5     10  10.75    25.00     3.86    0.268     0.0780
  2008      5     10  11.25    25.27     4.26    0.282     0.0699
  2008      5     10  11.75    25.50     4.34    0.289     0.0706
  2008      5     10  12.25    25.63     4.42    0.292     0.0661
  2008      5     10  12.75    25.63     4.53    0.308     0.0643
  2008      5     10  13.25    25.73     4.36    0.311     0.0567
  2008      5     10  13.75    25.67     3.46    0.223     0.0497
  2008      5     10  14.25    25.73     3.50    0.241     0.0478
  2008      5     10  14.75    25.67     3.27    0.226     0.0500
  2008      5     10  15.25    25.63     3.88    0.231     0.0200
  2008      5     10  15.75    25.53     3.45    0.218     0.0149
  2008      5     10  16.25    25.30     3.49    0.222     0.0006
  2008      5     10  16.75    25.07     3.00    0.193    -0.0081
  2008      5     10  17.25    24.70     2.57    0.178    -0.0140
  2008      5     10  17.75    23.97     2.39    0.120    -0.0137
  2008      5     10  18.25    23.30     2.09    0.119    -0.0153
  2008      5     10  18.75    22.70     1.54      NaN    -0.0034
  2008      5     10  19.25    21.00     1.58    0.031    -0.0073
  2008      5     10  19.75    19.97     2.11    0.072    -0.0135
  2008      5     10  20.25    20.27     2.85    0.149    -0.0304
  2008      5     10  20.75    19.90     2.66    0.132    -0.0280
  2008      5     10  21.25    19.33     2.37    0.085    -0.0098
  2008      5     10  21.75    18.80     2.57    0.129    -0.0243
  2008      5     10  22.25    18.10     2.65    0.140    -0.0304
  2008      5     10  22.75    17.63     3.31    0.232    -0.0517
  2008      5     10  23.25    17.73     3.54    0.217    -0.0423
  2008      5     10  23.75    17.30     3.66    0.218    -0.0445
